trial,learning_rate,max_depth,min_child_weight,reg_alpha,reg_lambda,n_estimators,alpha,beta,MSE_train,MSE_test,MSE_train_uncensored,MSE_test_uncensored,RMSE_train,RMSE_test,RMSE_train_uncensored,RMSE_test_uncensored,R2_train,R2_test,R2_train_uncensored,R2_test_uncensored,MAE_train,MAE_test,MAE_train_uncensored,MAE_test_uncensored,MedianAE_train,MedianAE_test,MedianAE_train_uncensored,MedianAE_test_uncensored,PredIn90_train,PredIn90_test,PredIn90_train_uncensored,PredIn90_test_uncensored,PredIn180_train,PredIn180_test,PredIn180_train_uncensored,PredIn180_test_uncensored,PredIn360_train,PredIn360_test,PredIn360_train_uncensored,PredIn360_test_uncensored,Cindex_train,Cindex_test,Cindex_train_uncensored,Cindex_test_uncensored,test_fold,best_trial,best_value,elapsed_time,dataset,method,n_features,n_patients,processed,is_best_trial
0,0.4228517846555483,10,0.10113231069171438,0.16193110912440742,0.03863879405158731,10,36.206007257447396,108.81335003635891,2456.0576,1173050.8,103.51729,372463.12,49.558628,1083.0747,10.174345,610.29755,0.9922289848327637,0.37440311908721924,0.9995110630989075,0.3663671016693115,8.567908,598.8436,5.71418,376.23627,4.414795,291.95215,3.62677,234.21658,0.9964812559209636,0.1506276150627615,0.9994308480364257,0.1881720430107527,0.997563946406821,0.3288702928870293,0.9994308480364257,0.3897849462365591,0.998375964271214,0.5841004184100418,1.0,0.6881720430107527,0.9910916663491728,0.7242853296234798,0.992902320776949,0.7284106402111797,ArQ,1,334.92515806518674,8546.035772800446,encals,XGBoostMAEPOReg,7,8584,2024-11-29 17:51:01,False
1,0.40279979948836325,8,4.250025692592619,5.5065298979459945,0.06573686655138336,90,12.082666253305458,1026.6030035164245,23009.914,1277799.5,13401.387,311835.7,151.69019,1130.398,115.76436,558.4225,0.9271959662437439,0.3185398578643799,0.9367047548294067,0.46950632333755493,97.74912,599.8817,83.789665,353.31946,67.77991,302.2796,61.450745,247.7362,0.6084720530518338,0.18326359832635983,0.6459874786568014,0.18548387096774194,0.8647990255785627,0.31715481171548116,0.9032441661923734,0.34139784946236557,0.9765868182433347,0.5790794979079498,0.9886169607285145,0.696236559139785,0.9018118747884418,0.7316690414217116,0.895959857462458,0.73647492240304,ArQ,1,334.92515806518674,8546.035772800446,encals,XGBoostMAEPOReg,7,8584,2024-11-29 17:51:01,True
2,0.4231317543434557,8,1.4898306920928144,0.0620020367716472,15.957993164212978,100,87.15103205978144,1193.8997108268645,41256.7,1147342.2,22820.27,286507.1,203.11745,1071.1406,151.0638,535.26355,0.8694626092910767,0.38811367750167847,0.892219066619873,0.5125951766967773,125.20401,570.5744,101.88621,328.76846,82.394226,280.48315,70.32727,224.41989,0.5280822844769252,0.17573221757322174,0.5890722822993739,0.22311827956989247,0.7904993909866017,0.35313807531380753,0.8400682982356289,0.41397849462365593,0.9478955203681148,0.606694560669456,0.9721115537848606,0.7338709677419355,0.8797918027474665,0.7568311605259614,0.8781695916449953,0.758724218953964,ArQ,1,334.92515806518674,8546.035772800446,encals,XGBoostMAEPOReg,7,8584,2024-11-29 17:51:01,False
3,0.8776252607730779,12,0.9419376925608013,0.01432910723846785,0.04778831065857701,90,19.726066891840954,183.36771578903645,2355.5232,1322140.4,36.569355,457975.66,48.533733,1149.8436,6.0472603,676.739,0.9925470352172852,0.29489248991012573,0.9998272657394409,0.2208935022354126,1.8717475,649.09265,0.18291219,416.40256,0.0012817383,327.2221,0.0010681152,260.00888,0.9967519285424279,0.16401673640167364,0.9994308480364257,0.18548387096774194,0.997563946406821,0.30711297071129706,0.9994308480364257,0.3629032258064516,0.998375964271214,0.5364016736401673,1.0,0.6344086021505376,0.9990564840453012,0.7033346609522955,0.9996158857208112,0.696516114060279,ArQ,1,334.92515806518674,8546.035772800446,encals,XGBoostMAEPOReg,7,8584,2024-11-29 17:51:01,False
4,0.9583106348489969,8,6.949583428109686,0.1828363420984453,5.571905096939268,90,11.34657614700661,1780.053047046497,10414.922,1291058.6,5224.51,351275.06,102.05353,1136.2476,72.28077,592.68463,0.967046856880188,0.31146860122680664,0.9753244519233704,0.4024121165275574,62.3887,628.248,51.972084,392.27612,42.72174,348.48608,37.08716,299.58286,0.786709974286101,0.15732217573221757,0.8343767785998861,0.17204301075268819,0.9508729192042225,0.29372384937238494,0.9726807057484348,0.31989247311827956,0.9924211665989985,0.5179916317991632,0.9977233921457029,0.5940860215053764,0.9353467980796651,0.7121993223533636,0.9333879658034477,0.7248716386737447,ArQ,1,334.92515806518674,8546.035772800446,encals,XGBoostMAEPOReg,7,8584,2024-11-29 17:51:01,False
0,0.9889724780174297,10,2.8763955214376113,14.358772473434621,0.0258764101542105,50,5318.467494773384,76.0050493128347,2230.764,1111242.5,51.617622,810217.8,47.230965,1054.1549,7.1845407,900.121,0.9955933690071106,-0.5647128820419312,0.9997789263725281,-1.0296595096588135,4.494257,727.63354,2.6004982,617.049,1.7993469,493.80264,1.6812744,428.46216,0.9976435935198822,0.09531772575250837,0.9993678887484198,0.10054844606946983,0.9976435935198822,0.20624303232998886,0.9993678887484198,0.2340036563071298,0.9979381443298969,0.3935340022296544,1.0,0.4424131627056673,0.9958286541616618,0.6034346421921087,0.9968305699531629,0.6204472029706288,IDPP,2,354.81230422107546,8546.035772800446,encals,XGBoostMAEPOReg,7,8584,2024-11-29 17:51:01,False
1,0.29489758520048526,4,0.291732882915941,5.192089041374387,0.07022834985764341,30,298.34549048893894,14.457314723643993,100183.05,778054.4,63507.69,433768.47,316.51706,882.0739,252.00732,658.611,0.8020987510681152,-0.0955590009689331,0.7279894351959229,-0.0866241455078125,201.4014,564.5173,178.11043,398.46075,146.48865,348.01678,135.75423,240.78162,0.32032400589101623,0.1516164994425864,0.3255372945638432,0.1809872029250457,0.5939617083946981,0.29821627647714605,0.6365360303413401,0.376599634369287,0.8715758468335788,0.5150501672240803,0.893173198482933,0.6563071297989032,0.8057083288821492,0.6633116182187965,0.7932667219449415,0.7024980897355122,IDPP,2,354.81230422107546,8546.035772800446,encals,XGBoostMAEPOReg,7,8584,2024-11-29 17:51:01,False
2,0.578376429437093,4,5.934124815342514,6.295546558422284,0.025664790016446153,50,1211.1570825917515,174.79854309911977,86600.7,813363.7,55269.316,439974.44,294.27997,901.86676,235.09427,663.30566,0.8289293050765991,-0.14527714252471924,0.7632753252983093,-0.10217058658599854,193.9053,569.35944,172.97252,400.3315,139.16736,346.4277,133.42764,257.5031,0.34285714285714286,0.1426978818283166,0.34007585335018964,0.1846435100548446,0.6106038291605302,0.2809364548494983,0.629582806573957,0.3583180987202925,0.8726067746686303,0.5139353400222966,0.9013906447534766,0.6288848263254113,0.809605785757774,0.6527319546900479,0.7951971929734696,0.6927959569419682,IDPP,2,354.81230422107546,8546.035772800446,encals,XGBoostMAEPOReg,7,8584,2024-11-29 17:51:01,True
3,0.05945392435662629,8,6.671566987675909,1.1469815928006895,60.031476336384145,60,5131.044082788639,25.847831413807317,191770.73,598455.0,74687.266,303501.97,437.91635,773.59875,273.2897,550.91016,0.6211768388748169,0.1573304533958435,0.6801060438156128,0.23970365524291992,232.73572,502.95493,186.96223,359.6776,151.75769,320.21744,140.73657,256.43933,0.3,0.15774804905239687,0.3223767383059418,0.17915904936014626,0.5743740795287187,0.3015607580824972,0.6188369152970923,0.3583180987202925,0.8584683357879234,0.532329988851728,0.8938053097345132,0.6544789762340036,0.7992705269072998,0.6707223598902278,0.7926372379217503,0.7041938683861281,IDPP,2,354.81230422107546,8546.035772800446,encals,XGBoostMAEPOReg,7,8584,2024-11-29 17:51:01,False
4,0.14788358377825098,12,4.037000686156782,0.04585817723633227,51.29019161911274,40,1788.2832527607136,1506.5860993249594,100306.266,647527.1,40357.71,352924.38,316.71164,804.6907,200.89229,594.0744,0.8018553853034973,0.08823317289352417,0.8271433711051941,0.11589670181274414,176.07216,528.7539,143.07156,381.89105,117.69571,345.6555,111.52763,250.76227,0.4001472754050074,0.1605351170568562,0.404551201011378,0.20109689213893966,0.6807069219440354,0.29821627647714605,0.7275600505689002,0.38939670932358317,0.9131075110456554,0.5172798216276477,0.9443742098609356,0.6380255941499086,0.8457638405772556,0.6620757169191871,0.8374346505143121,0.6975448074319343,IDPP,2,354.81230422107546,8546.035772800446,encals,XGBoostMAEPOReg,7,8584,2024-11-29 17:51:01,False
0,0.8844730302937517,10,7.534330096870638,0.2486528079375972,0.12014662261383692,90,192.43034993057083,7843.684950031122,75.15038,626319.75,71.73334,366946.6,8.668932,791.4037,8.469554,605.76117,0.9999368190765381,-2.467906951904297,0.9998492002487183,-2.0370259284973145,6.3387036,552.2611,6.069765,434.7377,4.8049316,391.4118,4.616028,316.9935,1.0,0.12546916890080428,1.0,0.1446280991735537,1.0,0.25576407506702414,1.0,0.31239669421487604,1.0,0.4682752457551385,1.0,0.5446280991735537,0.9953964650515831,0.6094603231220466,0.9937978684028206,0.6211178806714455,PROACT,4,600.3237814308538,8546.035772800446,encals,XGBoostMAEPOReg,7,8584,2024-11-29 17:51:01,False
1,0.6668070828402636,10,1.2359851322384146,62.799622746789765,0.6304469295312833,60,167.65264451568498,51.41394643250001,42.286785,486455.0,34.48436,234212.2,6.502829,697.46326,5.8723383,483.95474,0.9999644756317139,-1.6934814453125,0.9999275207519531,-0.9384524822235107,4.69955,458.50055,4.2510986,336.9645,3.3966675,306.82132,3.1681213,241.63275,1.0,0.1708668453976765,1.0,0.2115702479338843,1.0,0.3218945487042002,1.0,0.39090909090909093,1.0,0.568722073279714,1.0,0.6694214876033058,0.9968252951093098,0.6290575205040163,0.9960186775745726,0.6402920672978233,PROACT,4,600.3237814308538,8546.035772800446,encals,XGBoostMAEPOReg,7,8584,2024-11-29 17:51:01,False
2,0.9043457253566313,8,0.12841623760847382,2.941573161810305,0.202572089167864,60,4548.061177879579,117.98024128079854,0.662518,780160.44,0.67911005,383986.88,0.8139521,883.2669,0.82408136,619.66675,0.999999463558197,-3.319716453552246,0.9999985694885254,-2.1780595779418945,0.6000143,530.38385,0.6004993,397.62033,0.45092773,332.9666,0.44747925,263.8134,1.0,0.15049151027703306,1.0,0.1975206611570248,1.0,0.2868632707774799,1.0,0.3504132231404959,1.0,0.532975871313673,1.0,0.6140495867768595,0.9997461401198989,0.6089987896500592,0.9995349587631801,0.6099330525151836,PROACT,4,600.3237814308538,8546.035772800446,encals,XGBoostMAEPOReg,7,8584,2024-11-29 17:51:01,False
3,0.9094497994106012,10,0.2566303041809072,52.20942797771148,5.802132870760368,100,32.886793022793,25.787381713852785,28.525984,433032.12,24.765121,231190.95,5.340972,658.05176,4.9764566,480.8232,0.9999760389328003,-1.3976812362670898,0.9999479055404663,-0.9134472608566284,3.5916185,452.62573,3.248924,342.46353,2.4423218,302.54767,2.2949219,247.12268,1.0,0.1613941018766756,1.0,0.20165289256198346,1.0,0.3127792672028597,1.0,0.38016528925619836,1.0,0.5653261840929401,1.0,0.6611570247933884,0.9975862025698775,0.6194248723618468,0.9966545502861427,0.6430331918294508,PROACT,4,600.3237814308538,8546.035772800446,encals,XGBoostMAEPOReg,7,8584,2024-11-29 17:51:01,False
4,0.9332695084067919,10,0.7534017099484186,10.516039540919325,10.363459483491251,100,1363.2461375504056,23.594614493955564,5.5635767,456590.56,4.9376736,234298.45,2.3587236,675.71484,2.2220876,484.04385,0.9999953508377075,-1.528123378753662,0.9999896287918091,-0.9391663074493408,1.4381355,466.16248,1.3352759,352.57687,0.84976196,324.98944,0.7908325,259.4075,1.0,0.1546023235031278,1.0,0.18760330578512396,1.0,0.2966934763181412,1.0,0.35619834710743803,1.0,0.5367292225201072,1.0,0.628099173553719,0.9991252701042237,0.6146919313650151,0.9986879193675439,0.6464708876973733,PROACT,4,600.3237814308538,8546.035772800446,encals,XGBoostMAEPOReg,7,8584,2024-11-29 17:51:01,True
0,0.4228517846555483,10,0.10113231069171438,0.16193110912440742,0.03863879405158731,10,36.206007257447396,108.81335003635891,2419.8323,1155410.2,60.741848,451792.44,49.19179,1074.9001,7.7937055,672.1551,0.9923436045646667,0.38381093740463257,0.999713122844696,0.23141241073608398,8.124707,630.23755,4.6793017,431.0363,3.5685425,323.8413,2.7162476,241.37772,0.9979699553390174,0.1598326359832636,0.9994308480364257,0.19086021505376344,0.998375964271214,0.31548117154811717,1.0,0.3924731182795699,0.998375964271214,0.5246861924686193,1.0,0.6397849462365591,0.9913999256862699,0.7252067158820625,0.9943862217169909,0.7172859919357178,ArQ,1,320.5422466078853,6433.153089761734,classes,XGBoostMAEPOReg,16,8584,2024-11-29 17:15:34,False
1,0.40279979948836325,8,4.250025692592619,5.5065298979459945,0.06573686655138336,90,12.082666253305458,1026.6030035164245,16003.754,1176162.1,7438.7515,421712.3,126.50594,1084.5101,86.2482,649.3938,0.949363648891449,0.3727438449859619,0.9648665189743042,0.28258460760116577,77.38263,630.94507,58.166016,411.15292,49.82727,365.72107,39.394897,253.77731,0.7213425362024631,0.14560669456066946,0.8116107000569152,0.17204301075268819,0.9110840438489647,0.2828451882845188,0.9516220830961867,0.3844086021505376,0.9825416159155501,0.49121338912133894,0.9948776323278316,0.6236559139784946,0.9228925194866361,0.7343630794776287,0.9331186965030028,0.7330229454935747,ArQ,1,320.5422466078853,6433.153089761734,classes,XGBoostMAEPOReg,16,8584,2024-11-29 17:15:34,True
2,0.4231317543434557,8,1.4898306920928144,0.0620020367716472,15.957993164212978,100,87.15103205978144,1193.8997108268645,26920.072,1215267.8,14103.737,367241.22,164.07338,1102.3918,118.759155,606.00433,0.9148241281509399,0.3518884778022766,0.9333875179290771,0.3752506375312805,99.788284,609.66754,76.32367,368.65515,62.267944,351.91284,50.32263,233.7037,0.6318852348084991,0.1707112970711297,0.7171314741035857,0.22580645161290322,0.8526187576126675,0.302928870292887,0.9151963574274331,0.4112903225806452,0.9631885234808499,0.5121338912133891,0.9795105293113261,0.6532258064516129,0.9023958862477026,0.7418491675268142,0.9150607834893149,0.7574333536390798,ArQ,1,320.5422466078853,6433.153089761734,classes,XGBoostMAEPOReg,16,8584,2024-11-29 17:15:34,False
3,0.8776252607730779,12,0.9419376925608013,0.01432910723846785,0.04778831065857701,90,19.726066891840954,183.36771578903645,2294.8528,1375855.6,3.37449,692586.56,47.90462,1172.9688,1.8369786,832.21783,0.9927390217781067,0.2662457823753357,0.999984085559845,-0.17822575569152832,1.5632881,718.7102,0.045043405,528.2054,0.0010375977,407.69623,0.0008544922,317.02356,0.998375964271214,0.14058577405857742,1.0,0.16129032258064516,0.998375964271214,0.2778242677824268,1.0,0.34946236559139787,0.998375964271214,0.4661087866108787,1.0,0.5456989247311828,0.9995336415572236,0.6939216555221469,0.999989618532995,0.6685812084820004,ArQ,1,320.5422466078853,6433.153089761734,classes,XGBoostMAEPOReg,16,8584,2024-11-29 17:15:34,False
4,0.9583106348489969,8,6.949583428109686,0.1828363420984453,5.571905096939268,90,11.34657614700661,1780.053047046497,7304.228,1303021.1,2444.3962,509168.22,85.464775,1141.4995,49.440834,713.56024,0.9768891930580139,0.30508893728256226,0.988455057144165,0.13380491733551025,46.314175,680.1029,34.756714,453.88458,30.149902,408.55518,25.562683,298.39062,0.881039382866423,0.15397489539748954,0.9328400682982356,0.21774193548387097,0.9756394640682094,0.2669456066945607,0.993739328400683,0.3521505376344086,0.9948572201921776,0.4610878661087866,0.9988616960728515,0.5698924731182796,0.9524645144237978,0.704242023066912,0.9578557858510987,0.6962985524903548,ArQ,1,320.5422466078853,6433.153089761734,classes,XGBoostMAEPOReg,16,8584,2024-11-29 17:15:34,False
0,0.9889724780174297,10,2.8763955214376113,14.358772473434621,0.0258764101542105,50,5318.467494773384,76.0050493128347,2204.1052,975595.2,3.2721338,607701.7,46.9479,987.7222,1.808904,779.55225,0.9956459999084473,-0.37371134757995605,0.9999859929084778,-0.5223405361175537,3.4334319,657.02466,1.2267816,515.2389,1.0877075,424.76093,0.88442993,343.07184,0.9979381443298969,0.11761426978818283,1.0,0.12979890310786105,0.9979381443298969,0.23690078037904125,1.0,0.28884826325411334,0.9979381443298969,0.4414715719063545,1.0,0.5301645338208409,0.9972944399715472,0.6328215940855917,0.9988202677047884,0.655552502111345,IDPP,2,331.2641525619072,6433.153089761734,classes,XGBoostMAEPOReg,16,8584,2024-11-29 17:15:34,False
1,0.29489758520048526,4,0.291732882915941,5.192089041374387,0.07022834985764341,30,298.34549048893894,14.457314723643993,66692.52,641351.56,46146.742,276319.12,258.24896,800.8443,214.81793,525.66064,0.8682558536529541,0.09692883491516113,0.8023483157157898,0.3077988624572754,171.06079,509.24786,145.0591,318.943,122.64456,313.75183,101.08035,201.9226,0.39322533136966126,0.1778149386845039,0.45448798988621997,0.26508226691042047,0.6652430044182621,0.3255295429208473,0.7420986093552465,0.4643510054844607,0.9022091310751105,0.5546265328874025,0.9266750948166877,0.7148080438756855,0.8301568163046226,0.6864263632398843,0.840059034636428,0.728052066436988,IDPP,2,331.2641525619072,6433.153089761734,classes,XGBoostMAEPOReg,16,8584,2024-11-29 17:15:34,False
2,0.578376429437093,4,5.934124815342514,6.295546558422284,0.025664790016446153,50,1211.1570825917515,174.79854309911977,58991.15,722696.44,40210.19,307102.78,242.88094,850.11554,200.5248,554.1686,0.8834691047668457,-0.017610907554626465,0.827775239944458,0.23068338632583618,162.2435,548.26715,138.34729,353.83716,115.5726,355.50473,99.87958,235.32458,0.4008836524300442,0.1488294314381271,0.45195954487989887,0.20840950639853748,0.6877761413843888,0.2959866220735786,0.7458912768647282,0.40036563071297987,0.9142857142857143,0.5061315496098104,0.93173198482933,0.6544789762340036,0.8379437396374261,0.6738132019020375,0.8448772085965187,0.7053768918321112,IDPP,2,331.2641525619072,6433.153089761734,classes,XGBoostMAEPOReg,16,8584,2024-11-29 17:15:34,True
3,0.05945392435662629,8,6.671566987675909,1.1469815928006895,60.031476336384145,60,5131.044082788639,25.847831413807317,154450.52,576509.3,64340.6,245104.56,393.00192,759.2821,253.6545,495.08035,0.6948990225791931,0.18823158740997314,0.7244219779968262,0.3859937787055969,201.35797,485.90887,157.77675,303.29495,122.10005,303.62482,103.365906,206.9596,0.3891016200294551,0.19007803790412486,0.4393173198482933,0.24680073126142596,0.6519882179675994,0.33444816053511706,0.7307206068268015,0.44972577696526506,0.8815905743740795,0.5652173913043478,0.9152970922882427,0.7184643510054844,0.8251734876178912,0.695975435022948,0.8341827832718123,0.7406363526683378,IDPP,2,331.2641525619072,6433.153089761734,classes,XGBoostMAEPOReg,16,8584,2024-11-29 17:15:34,False
4,0.14788358377825098,12,4.037000686156782,0.04585817723633227,51.29019161911274,40,1788.2832527607136,1506.5860993249594,75312.71,602735.4,32569.826,267159.62,274.4316,776.36035,180.47113,516.8749,0.8512275218963623,0.15130329132080078,0.8604997396469116,0.33074408769607544,147.95192,502.0253,115.214424,317.43326,91.1767,304.49,78.270966,211.64679,0.4952871870397644,0.1750278706800446,0.56826801517067,0.2449725776965265,0.7587628865979381,0.32608695652173914,0.8249051833122629,0.45521023765996343,0.931958762886598,0.5551839464882943,0.9532237673830595,0.7074954296160878,0.8686652266542989,0.685799546950251,0.877551151079367,0.7318927034599246,IDPP,2,331.2641525619072,6433.153089761734,classes,XGBoostMAEPOReg,16,8584,2024-11-29 17:15:34,False
0,0.8844730302937517,10,7.534330096870638,0.2486528079375972,0.12014662261383692,90,192.43034993057083,7843.684950031122,159.25597,631607.75,115.58262,363825.34,12.619666,794.73755,10.750936,603.1794,0.9998661875724792,-2.4971864223480225,0.9997569918632507,-2.011193037033081,8.593967,566.09143,7.4138517,459.23285,6.009033,416.92383,5.4711304,361.6053,0.9989963198394112,0.11492403932082217,0.998911860718172,0.14297520661157026,1.0,0.22734584450402145,1.0,0.2652892561983471,1.0,0.4421805183199285,1.0,0.4975206611570248,0.9937073894062681,0.5863987461130278,0.9925142596828229,0.5936525792298576,PROACT,3,578.0725052847938,6433.153089761734,classes,XGBoostMAEPOReg,16,8584,2024-11-29 17:15:34,False
1,0.6668070828402636,10,1.2359851322384146,62.799622746789765,0.6304469295312833,60,167.65264451568498,51.41394643250001,36.07455,491533.53,21.984356,244978.48,6.0062094,701.09454,4.688748,494.953,0.9999696612358093,-1.7216012477874756,0.9999537467956543,-1.027559518814087,4.1283226,467.39883,3.3503308,340.27054,2.803833,302.28314,2.5566406,235.46422,1.0,0.17372654155495978,1.0,0.2140495867768595,1.0,0.3297587131367292,1.0,0.4049586776859504,1.0,0.5613941018766756,1.0,0.6578512396694215,0.997135169967368,0.6422723784403035,0.9965311719988231,0.671845790875326,PROACT,3,578.0725052847938,6433.153089761734,classes,XGBoostMAEPOReg,16,8584,2024-11-29 17:15:34,False
2,0.9043457253566313,8,0.12841623760847382,2.941573161810305,0.202572089167864,60,4548.061177879579,117.98024128079854,0.57662183,764942.56,0.4096898,457964.38,0.7593562,874.6099,0.64007014,676.73065,0.9999995231628418,-3.2354555130004883,0.9999991655349731,-2.790332794189453,0.53126293,597.46136,0.4485932,480.0125,0.36853027,412.50916,0.32543945,346.16208,1.0,0.12475424486148347,1.0,0.14710743801652892,1.0,0.2484361036639857,1.0,0.29256198347107437,1.0,0.4478999106344951,1.0,0.5107438016528926,0.999805964116357,0.6158850737516415,0.9997983239534199,0.5960461023480886,PROACT,3,578.0725052847938,6433.153089761734,classes,XGBoostMAEPOReg,16,8584,2024-11-29 17:15:34,False
3,0.9094497994106012,10,0.2566303041809072,52.20942797771148,5.802132870760368,100,32.886793022793,25.787381713852785,25.72136,461589.12,14.220665,224635.72,5.071623,679.4035,3.7710297,473.95752,0.9999783635139465,-1.555800199508667,0.9999700784683228,-0.859192967414856,3.268352,484.96005,2.5531864,339.50223,2.0370483,360.40027,1.6934204,240.74924,1.0,0.14745308310991956,1.0,0.21570247933884298,1.0,0.27810545129579983,1.0,0.3950413223140496,1.0,0.4999106344950849,1.0,0.6528925619834711,0.9978418549292732,0.6505828915075218,0.9976178499909839,0.6675014574626191,PROACT,3,578.0725052847938,6433.153089761734,classes,XGBoostMAEPOReg,16,8584,2024-11-29 17:15:34,True
